cpu_slug,cpu,gpu_slug,gpu,continuous_watts,computed_psu_watts,vendor_recommended_psu_watts,recommended_psu_watts,binding_constraint,recommended_from_tdp_watts,sizes_missed_by_tdp,load_fraction_at_recommended,headroom_watts
core-i5-13600k,Core i5-13600K,rtx-4080,GeForce RTX 4080,545,700,750,750,vendor,650,1,0.727,205
core-i5-13600k,Core i5-13600K,rx-7900-xt,Radeon RX 7900 XT,540,700,750,750,vendor,650,1,0.72,210
core-i5-13600k,Core i5-13600K,rx-9070-xt,Radeon RX 9070 XT,529,700,750,750,vendor,600,2,0.705,221
core-i5-13600k,Core i5-13600K,rtx-5070-ti,GeForce RTX 5070 Ti,525,700,750,750,vendor,600,2,0.7,225
core-i5-13600k,Core i5-13600K,rtx-3070-ti,GeForce RTX 3070 Ti,515,650,650,650,agree,600,1,0.792,135
core-i5-13600k,Core i5-13600K,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,510,650,700,700,vendor,600,1,0.729,190
core-i5-13600k,Core i5-13600K,rtx-4070-ti,GeForce RTX 4070 Ti,510,650,700,700,vendor,600,1,0.729,190
core-i5-13600k,Core i5-13600K,rx-7800-xt,Radeon RX 7800 XT,488,650,700,700,vendor,550,2,0.697,212
core-i5-13600k,Core i5-13600K,rx-7900-gre,Radeon RX 7900 GRE,485,650,700,700,vendor,550,2,0.693,215
core-i5-13600k,Core i5-13600K,rtx-5070,GeForce RTX 5070,475,600,650,650,vendor,550,1,0.731,175
core-i5-13600k,Core i5-13600K,rx-7700-xt,Radeon RX 7700 XT,470,600,700,700,vendor,550,1,0.671,230
core-i5-13600k,Core i5-13600K,rtx-4070-super,GeForce RTX 4070 SUPER,445,600,650,650,vendor,500,2,0.685,205
core-i5-13600k,Core i5-13600K,rtx-3070,GeForce RTX 3070,445,600,650,650,vendor,500,2,0.685,205
core-i5-13600k,Core i5-13600K,rx-9070,Radeon RX 9070,445,600,650,650,vendor,500,2,0.685,205
core-i5-13600k,Core i5-13600K,rtx-4070,GeForce RTX 4070,425,550,650,650,vendor,500,1,0.654,225
core-i5-13600k,Core i5-13600K,rtx-3060-ti,GeForce RTX 3060 Ti,425,550,600,600,vendor,500,1,0.708,175
core-i5-13600k,Core i5-13600K,rtx-5060-ti,GeForce RTX 5060 Ti,405,550,600,600,vendor,450,2,0.675,195
core-i5-13600k,Core i5-13600K,rtx-3060,GeForce RTX 3060,395,500,550,550,vendor,450,1,0.718,155
core-i5-13600k,Core i5-13600K,rtx-4060-ti,GeForce RTX 4060 Ti,390,500,550,550,vendor,450,1,0.709,160
core-i5-13600k,Core i5-13600K,rx-7600,Radeon RX 7600,390,500,550,550,vendor,450,1,0.709,160
core-i5-13600k,Core i5-13600K,rx-9060-xt,Radeon RX 9060 XT,385,500,550,550,vendor,450,1,0.7,165
core-i5-13600k,Core i5-13600K,rtx-5060,GeForce RTX 5060,370,500,550,550,vendor,450,1,0.673,180
core-i5-13600k,Core i5-13600K,rtx-5050,GeForce RTX 5050,355,450,550,550,vendor,450,0,0.646,195
core-i5-13600k,Core i5-13600K,rtx-3050,GeForce RTX 3050,355,450,550,550,vendor,450,0,0.646,195
core-i5-13600k,Core i5-13600K,rtx-4060,GeForce RTX 4060,340,450,550,550,vendor,450,0,0.618,210
